NestNumber,BeeID,Treatment ,DurationX ,TemperatureX,DateCollected,Location,Position ,EstimatedSex,StageOnCollection,Instar1,Instar2,Instar34,Instar5,SpinStart,CocoonComplete,Mortality,mortality_postlarv,MortalityDate ,DaystoDeath,DeathStage,Weight,Weight_Sept,Weight_November,weight_feb,itd ,emergence_success,emergence_date ,sex ,Notes 
1,1,2,4,33,22-Apr,NH,1,1,0,2,3,5,10,29,31,0,0,,,,0.2039,0.1436,0.1385,0.1366,,1,2/19/21,F,long poop 5/5
1,2,2,4,33,22-Apr,NH,2,1,0,3,4,5,11,30,33,0,1,,,8,0.1532,0.1131,0.1112,0.1027,,0,,F,
1,3,2,4,33,22-Apr,NH,3,0,0,3,4,8,12,30,32,0,0,,,,0.0919,0.07,0.0748,0.0777,,1,2/18/21,M,
1,5,2,4,33,22-Apr,NH,5,0,0,4,4,8,12,32,34,0,0,,,,0.1406,0.0989,0.0987,0.0989,,1,2/22/21,M,
1,6,2,4,33,22-Apr,NH,6,0,0,5,6,11,13,32,35,0,0,,,,0.0935,0.0649,0.0683,0.0705,,1,2/16/21,M,"might b dead 4/26, might be dead 4/27"
2,7,3,7,33,23-Apr,SH,1,1,0,2,3,6,7,29,31,0,1,,,8,0.1997,0.155,0.1459,0.1312,,0,,F,
2,8,3,7,33,23-Apr,SH,2,1,0,2,3,6,7,30,34,0,1,,,6,0.1852,0.1239,0.1124,0.1205,,0,,,
2,10,3,7,33,23-Apr,SH,4,0,0,,,,,,,1,0,24-Apr,1,0,,,,,,,,,egg died 4/24
2,11,3,7,33,23-Apr,SH,5,0,0,2,6,7,9,30,34,0,0,,,,0.1239,0.0881,0.0894,0.0897,,1,2/14/21,M,maybe dead 4/26 maybe dead 4/27
2,12,3,7,33,23-Apr,SH,6,0,0,4,4,7,8,28,31,0,1,,,8,0.1255,0.0892,0.0905,0.0882,,0,,M,
3,13,5,7,37,23-Apr,NH,1,1,0,2,3,5,8,35,38,0,1,,,7,0.1922,0.1259,0.104,0.1111,,0,,,
3,14,5,7,37,23-Apr,NH,2,1,0,2,3,6,8,34,35,0,0,,,,0.1692,0.1273,0.1268,0.1268,,1,2/18/21,F,poops are kinda sticking togeth 5/4 took a picture 
3,15,5,7,37,23-Apr,NH,3,0,0,3,4,6,9,32,35,0,0,,,,0.1658,0.1165,0.1137,0.1056,,1,2/14/21,F,disappeared ?? 5/13
3,16,5,7,37,23-Apr,NH,4,0,0,,,,,,,1,0,25-Apr,2,0,,,,,,,,,"dead 4/25, egg maybe swallowed by provision melting "
3,17,5,7,37,23-Apr,NH,5,0,0,3,4,6,9,35,39,0,0,,,,0.1677,0.1292,0.128,0.1287,,1,2/26/21,F,"4/27 2nd instar but isn't eating has its mouth right above the position , 5/5 poop a little weird took a picture"
3,18,5,7,37,23-Apr,NH,6,0,0,,,,,,,1,0,26-Apr,3,0,,,,,,,,,"4/25 looks wrinkly and may be dying or molting to 1st instar, 4/26 dead  "
4,19,1,4,25,23-Apr,NH,1,1,0,3,4,8,14,,,1,0,13-May,20,5,,,,,,,,,"4/27 died shriveled up, 4/29 not dead! "
4,20,1,4,25,23-Apr,NH,2,1,0,,,,,,,1,0,24-Apr,1,0,,,,,,,,,egg ruptured 
4,22,1,7,25,23-Apr,NH,4,0,0,5,6,9,12,30,32,0,0,,,,0.0924,0.0592,0.0617,0.0609,,1,2/14/21,M,
4,23,1,7,25,23-Apr,NH,5,0,0,4,5,10,12,30,33,0,0,,,,0.1677,0.0678,0.0718,0.0695,,1,2/14/21,M,
5,24,1,7,25,24-Apr,SH,1,1,0,3,6,10,13,31,37,0,1,,,8,0.0859,0.0622,0.0664,0.0635,,0,,M ,only one egg in all of the nest 
6,25,1,7,25,24-Apr,SH,1,1,0,2,4,8,12,31,34,0,0,,,8,0.0932,0.0632,0.067,0.0644,,0,,M,
6,27,1,7,25,24-Apr,SH,3,0,0,4,5,9,13,31,38,0,1,,,8,0.1173,0.0799,0.0712,0.0699,,0,,M,
7,28,3,7,33,24-Apr,NH,1,1,0,2,2,5,6,28,30,0,1,,,8,0.1604,0.1104,0.1087,0.1042,,0,,F,4/27 provision carmelizing? picture taken 
7,29,3,7,33,24-Apr,NH,2,1,0,2,3,5,7,28,30,0,1,,,8,0.1671,0.1235,0.1218,0.1123,,0,,F,5/5 weird poop long took picture
7,30,3,7,33,24-Apr,NH,3,0,0,2,3,5,7,27,30,0,1,,,8,0.1855,0.1333,0.1311,0.128,,0,,F,5/5 weird poop long took picture
7,31,3,7,33,24-Apr,NH,4,0,0,3,3,6,9,27,30,0,1,,,8,0.0973,0.0653,0.0686,0.0545,,0,,M ,5/5 weird poop long took picture
7,32,3,7,33,24-Apr,NH,5,0,0,3,3,6,7,27,30,0,0,,,,0.1192,0.085,0.0861,0.0879,,1,2/16/21,M,5/5 weird poop long took picture
8,34,2,4,33,24-Apr,NH,1,1,0,2,3,8,9,29,31,0,1,,,8,0.1357,0.095,0.0944,0.0678,,0,,F,
7,33,3,7,33,24-Apr,NH,6,0,0,3,3,7,,,,1,0,3-May,8,3,,,,,,,,,5/3 brown inside
8,36,2,4,33,24-Apr,NH,3,0,0,3,4,9,10,29,31,0,1,,,8,0.1309,0.092,0.0913,0.0879,,0,,F,
8,35,2,4,33,24-Apr,NH,2,1,0,,,,,,,1,0,28-Apr,4,0,,,,,,,,,"might be dead 4/27 buried in the provision a little bit, 4/28 dead"
8,37,2,4,33,24-Apr,NH,4,0,0,5,6,11,16,37,42,0,1,,,8,0.0749,0.0446,0.0492,0.0481,,0,,M ,
9,43,4,4,37,25-Apr,SH,6,0,0,4,5,8,14,32,41,0,1,,,6,0.1218,0.0731,0.0835,0.0924,,0,,,
9,38,4,4,37,25-Apr,SH,1,1,0,1,4,7,,,,1,0,4-May,10,3,,,,,,,,,"5/3 might be dying looks unwell large insides still 3rd instar after several days, 5/4 dead took a picture "
9,39,4,4,37,25-Apr,SH,2,1,0,1,5,,,,,1,0,2-May,8,2,,,,,,,,,52 yellow dead 
9,40,4,4,37,25-Apr,SH,3,1,0,2,5,7,14,,,1,0,23-May,28,5,,,,,,,,,"4/27 starting to shrivel up, 5/20 dying? 5/23 died black"
9,41,4,4,37,25-Apr,SH,4,0,0,,,,,,,1,0,29-Apr,,,,,,,,,,,4/27 might be getting swallowed by melting provision
9,42,4,4,37,25-Apr,SH,5,0,0,,,,,,,1,0,27-Apr,2,0,,,,,,,,,4/27 shriveled up egg stage 
10,47,4,4,37,26-Apr,NH,4,0,0,3,3,7,11,28,33,0,0,,,,0.0836,0.0572,0.0599,0.0613,,1,2/16/21,M,
10,44,4,4,37,26-Apr,NH,1,1,0,,,,,,,1,0,27-Apr,1,0,,,,,,,,,"4/27 may have fallen off the provision, definitely fell off "
10,45,4,4,37,26-Apr,NH,2,1,0,,,,,,,1,0,29-Apr,3,0,,,,,,,,,4/29 stuck in provision
10,46,4,4,37,26-Apr,NH,3,0,0,2,3,7,10,,,1,0,23-May,27,5,,,,,,,,,"5/23 died, spun but died and crunched up"
10,49,4,4,37,26-Apr,NH,6,0,0,3,4,8,11,28,32,0,0,,,,0.1217,0.0902,0.0916,0.0946,,1,2/17/21,M,might be dying 4/29
10,48,4,4,37,26-Apr,NH,5,0,0,2,,,,,,1,0,30-Apr,4,1,,,,,,,,,4/30 died 
11,50,3,7,33,26-Apr,NH,1,1,0,2,3,5,6,28,32,0,1,,,8,0.1842,0.1402,0.1373,0.1346,,0,,F,
11,51,3,7,33,26-Apr,NH,2,1,0,2,3,6,7,26,28,0,0,,,,0.1741,0.1296,0.1266,0.1265,,1,2/22/21,F,
11,52,3,7,33,26-Apr,NH,3,0,0,2,3,6,7,25,28,0,0,,,,0.1725,0.1217,0.1172,0.1166,,1,2/19/21,F,wierd poop 5/5 no picture (phone dead :( ) looks the same as in NH7  
11,53,3,7,33,26-Apr,NH,4,0,0,3,3,6,7,25,28,0,0,,,,0.165,0.1206,0.1162,0.1169,,1,2/16/21,F,
11,55,3,7,33,26-Apr,NH,6,0,0,4,5,6,7,28,31,0,1,,,8,0.1109,0.076,0.0771,0.078,,0,,M,
11,54,3,7,33,26-Apr,NH,5,0,0,3,3,,,,,1,0,3-May,7,2,,,,,,,,,"5/2 looks like it is dying, brown insides took picture"
12,56,3,7,33,26-Apr,NH,1,1,0,2,3,5,7,29,31,0,0,,,,0.0926,0.062,0.0655,0.0588,,1,2/14/21,M,
12,57,3,7,33,26-Apr,NH,2,1,0,2,3,6,7,28,30,0,0,,,,0.0959,0.0724,0.0762,0.0778,,1,2/16/21,M,
12,59,3,7,33,26-Apr,NH,4,0,0,3,4,5,8,28,32,0,0,,,,0.0944,0.0662,0.0695,0.0597,,1,2/14/21,M,
12,58,3,7,33,26-Apr,NH,3,0,0,3,3,6,,,,1,0,2-May,6,3,,,,,,,,,4/29 pressed against saran wrap might die soon
12,60,3,7,33,26-Apr,NH,5,0,0,3,4,7,9,28,32,0,1,,,8,0.091,0.0609,0.0635,0.0602,,0,,M,
13,61,4,4,37,27-Apr,SH,1,1,0,2,3,7,12,37,42,0,0,,,,0.1246,0.0874,0.0885,0.0884,,1,2/14/21,M,might be dying 4/29
13,62,4,4,37,27-Apr,SH,2,1,0,2,5,8,14,37,44,0,1,,,6,0.1541,0.0825,0.0922,0.1011,,0,,,
14,67,2,4,33,28-Apr,C4,1,1,0,2,2,6,9,31,33,0,1,,,6,0.1607,0.0972,0.1039,0.1125,,0,,,
13,63,4,4,37,27-Apr,SH,3,0,0,2,3,,,,,1,0,2-May,5,2,,,,,,,,,dead 5/2 under pollen
