NestNumber,BeeID,Treatment ,DurationX ,TemperatureX,DateCollected,Location,Position ,EstimatedSex,StageOnCollection,Instar1,Instar2,Instar34,Instar5,SpinStart,CocoonComplete,Mortality,MortalityDate ,DaystoDeath,DeathStage,Weight,Weight_Sept,Weight_November,Notes 
17,84,2,4,33,28-Apr,NH,3,0,0,2,3,4,9,33,35,0,,,,0.2062,0.1555,0.1515,
17,82,2,4,33,28-Apr,NH,1,1,0,2,3,4,10,32,40,0,,,,0.214,0.1556,0.1511,
25,130,1,4,25,1-May,NH,2,1,0,4,6,7,12,29,35,0,,,,0.2044,0.1552,0.1509,
2,7,3,7,33,23-Apr,SH,1,1,0,2,3,6,7,29,31,0,,,,0.1997,0.155,0.1459,
15,74,3,7,33,28-Apr,SH,2,0,0,3,5,6,9,28,33,0,,,,0.207,0.1465,0.1428,
31,169,3,7,33,5-May,NH,1,1,0,2,3,4,8,30,34,0,,,,0.1952,0.1465,0.1413,
1,1,2,4,33,22-Apr,NH,1,1,0,2,3,5,10,29,31,0,,,,0.2039,0.1436,0.1385,long poop 5/5
2,10,3,7,33,23-Apr,SH,4,0,0,,,,,,,1,24-Apr,1,0,,,,egg died 4/24
17,86,2,4,33,28-Apr,NH,5,0,0,2,3,6,10,32,36,0,,,,0.1968,0.1424,0.1383,
11,50,3,7,33,26-Apr,NH,1,1,0,2,3,5,6,28,32,0,,,,0.1842,0.1402,0.1373,
24,126,1,4,25,30-Apr,NH,3,0,0,4,6,7,12,32,34,0,,,,0.2042,0.1419,0.1364,
18,91,1,4,25,28-Apr,NH,3,0,0,4,5,7,12,28,34,0,,,,0.1889,0.14,0.1363,
16,77,1,4,25,28-Apr,NH,2,1,0,2,3,8,10,30,33,0,,,,0.1866,0.1398,0.1362,
3,16,5,7,37,23-Apr,NH,4,0,0,,,,,,,1,25-Apr,2,0,,,,"dead 4/25, egg maybe swallowed by provision melting "
17,83,2,4,33,28-Apr,NH,2,1,0,2,3,4,8,30,31,0,,,,0.1817,0.1372,0.1338,
3,18,5,7,37,23-Apr,NH,6,0,0,,,,,,,1,26-Apr,3,0,,,,"4/25 looks wrinkly and may be dying or molting to 1st instar, 4/26 dead  "
